stemmed_and_stopword_translated_text,neg,neu,pos,compound,sentiment_label
expensive ukt tapera debt broke silent majority ormas mes upright law oon silent majorhy diem majority ato miu dukn,0.238,0.762,0.0,-0.6486,negative
goodjkkandrewstjanbytw nudduh supportprebowo critique ukt h pj kracc relief selectingtheprewun,0.0,0.721,0.279,0.4767,positive
goodjkkandrewstjanstickcontext truthso tomake commandthatduetonotknowwise pointstampukukt buttainthe villain commandhiler ademintimes,0.31,0.69,0.0,-0.5574,negative
naisan motherkrolpolit verypolitic tapera ukt wapres pilkada returnto listenyes comeonthe spiritof protest,0.154,0.846,0.0,-0.25,negative
carienyuu kann demo student yesterday inoblos enjoy sono ukt lu naek gausa protest,0.123,0.679,0.198,0.296,positive
sulthoni ukt,0.0,1.0,0.0,0.0,neutral
mythicalforestcawecawe hispoliticaldistribution unrunin recordracorruption worklevelsofinfluencersgreat party dhrageather nurunin saggression mager,0.0,0.769,0.231,0.4019,positive
cwpoliticsivotehim shim visionofa careful mission relievemyhigh ortu pi en ice,0.0,0.849,0.151,0.1531,positive
cnni indonesia salary cut tapera inflation must nombok clu ukt ukmko transport alhamdulillah breath attached,0.13,0.87,0.0,-0.2732,negative
last day marshoda shut complaining salary cut country ecosystem deer country post photos backsound numbers,0.231,0.769,0.0,-0.4404,negative
originalsareexhausted extreme god fast fast semesterof collegesput moneyoutmyparentstonot payin college,0.0,0.811,0.189,0.2732,positive
ask sure college yes,0.0,0.286,0.714,0.6124,positive
awokyogeelthe uktcannot paywith lunch,0.0,1.0,0.0,0.0,neutral
carienyuu gappa utt expensive pay etc joget ok gas ok gas,0.101,0.58,0.319,0.4588,positive
select p p k licidud hooks ukt times amount students gone college tapera tube mounts home salary cuts,0.136,0.864,0.0,-0.296,negative
youngsteo mwu add ukt money,0.0,1.0,0.0,0.0,neutral
uns cancel ukt wvps anyy,0.333,0.667,0.0,-0.25,negative
carienyuu yahgaapa ukpat free lunch jogethouu okgas ok gas,0.0,0.56,0.44,0.6705,positive
collegemenfess pay ukt slesai remember age maximum locker nder ding slaughter gas,0.113,0.887,0.0,-0.1027,negative
tev n pe el gilir like gin ukt diem bae let young people buy house young man success miscarry social mobility powerful ukt diem die aki nini,0.112,0.63,0.258,0.6249,positive
sad pay,1.0,0.0,0.0,-0.5423,negative
sulthoni ukt gasoline appn fence dpr,0.0,1.0,0.0,0.0,neutral
falseukowicommand twtw dho vinivini rhanrizkyridho nlhiok,0.0,1.0,0.0,0.0,neutral
carienyuu stupid people ask dance eat tukukt,0.362,0.638,0.0,-0.5267,negative
session practice team debut diaspora country bamboo curtain sty please enter play strong diaspora economic cooperation toongkok project tapera subsidi ukt ukkl wpyv,0.0,0.714,0.286,0.7906,positive
hotchocov carienyuuu againsttheresponse president stillresponsives,0.0,1.0,0.0,0.0,neutral
partisocmed prabowopet ya tum memed jokei say smart ukt continue vote,0.0,0.787,0.213,0.4019,positive
imoimoo crubmble drunnn reiza patters muji news delays ukt kareem meets jonowi raises opinion tapera since uu president tried pp tapera,0.0,1.0,0.0,0.0,neutral
outofthestoryofzora ithinkmutualtoxics sendhatespik exactlyknow whenthemansacred forbiddenfrompaying pussssursin swheni mgone,0.0,1.0,0.0,0.0,neutral
sbmptnfuss remainuct semptnfessit justright receivedddfile,0.0,1.0,0.0,0.0,neutral
mandatory make decision obligatory make complaint big deal,0.232,0.632,0.137,-0.2263,negative
pay rent pay pay,0.808,0.192,0.0,-0.296,negative
imoimoocrubmble dunnnn reizapatters tem fakekkkluklukukukt ukukunt untok tukakakkan rutukukukukok punkukkan cartorkkan,0.0,1.0,0.0,0.0,neutral
jebbakakun ukt ugal,0.0,1.0,0.0,0.0,neutral
boominghaoitu like doesnotselect thejir atmoughhelloowww whenwe represerved peacesign nowcalltouct,0.0,0.762,0.238,0.3612,positive
curryyuuu wkwk udh ad said gin team relax lurrr ukt,0.0,0.756,0.244,0.4404,positive
draft child unpad ukt unpad already betewe,0.0,1.0,0.0,0.0,neutral
locker selects free max congratulation see free realization,0.0,0.323,0.677,0.8885,positive
rockershtty era jokeowi tuh nerusin program jokei kat tet tet tet tetera president,0.0,1.0,0.0,0.0,neutral
friend keeps bugging enemy salary nakes low ukt mehong keep gas ok,0.295,0.421,0.284,-0.0516,negative
katsurapki parents said inferior guy got rb,0.31,0.69,0.0,-0.4019,negative
boedidirchet mukidi atthefocus ukt tapera,0.0,1.0,0.0,0.0,neutral
ukt amp tapera weapons issue break,0.367,0.633,0.0,-0.4404,negative
late eating blog,0.0,1.0,0.0,0.0,neutral
pjyhepudent,0.0,1.0,0.0,0.0,neutral
thank god got partially used scholarship yesterday worst case scerario nauzubillah scholarship contact paid full,0.198,0.58,0.222,-0.128,negative
supports orders prabowo mas prabowo plus free lunch fence tutoring program,0.0,0.608,0.392,0.7003,positive
timettt lateeat tutu uktt expensive middleclasswk,0.0,1.0,0.0,0.0,neutral
canaskaboutmy brother alsoresponsible carmunyayathinksyes ortu payit ifahhhh hahahahahahahahahakakiru yes yes plorkya yes yes,0.0,0.455,0.545,0.8689,positive
alnessonandrewstjan yastjan yes alnessonandrewstjan yaakstjan alsa yet wella alestjan yes well well well wellpeople well well well well well well wellisup wellofa asthepeoplefor alukethepeople sss fontffff fontffff fontffff fontffff youd,0.0,0.439,0.561,0.9601,positive
chose ppn legitimate cak imin ukt prabowo go expensive pad,0.0,1.0,0.0,0.0,neutral
greatestshowup breakup setelqh frequentrealcomer spowerd coup selectable know,0.0,1.0,0.0,0.0,neutral
wkkkkwbusted riweuh ukt ehh wasattackedrecordra wkkkkkkwwwawdist,0.0,1.0,0.0,0.0,neutral
pay lot money college,0.318,0.682,0.0,-0.1027,negative
joget dlu kakt abis,0.0,1.0,0.0,0.0,neutral
real question able support strange wise response recordar ruu siar kaesang change age limit ukt expensive tax age prebowo narration power continues cont program,0.063,0.734,0.203,0.6124,positive
catbum zonevenomwar dpr bang cancel already uuukt technical uu,0.2,0.8,0.0,-0.25,negative
ness knows procedure pays ukt late semester script,0.0,1.0,0.0,0.0,neutral
ratihmt xquitavee pang pkkakakakari jogori like utukt kaluem go people protesting cancel football way safe example throwing rocks hide hands read vision tri mission president vision,0.186,0.544,0.269,0.4404,positive
starkitomicompactv ukt expensive sembaco cost tax tapera gd im ojo,0.0,1.0,0.0,0.0,neutral
idextratimebliblidotcomkick ukt,0.0,1.0,0.0,0.0,neutral
change president time joke,0.0,0.577,0.423,0.296,positive
cariyuuugetok gas ktittock letthepeoplebespire uktokgastok,0.0,1.0,0.0,0.0,neutral
want pay,0.519,0.0,0.481,-0.0258,neutral
take money pay semester salary,0.259,0.741,0.0,-0.1027,negative
cupcakeclub soobinzi dointimefaraway fromacunn reiza patters kak ukt delaying delay yes ukt,0.153,0.667,0.18,0.1027,positive
even think,0.0,1.0,0.0,0.0,neutral
let help friend,0.0,0.145,0.855,0.7096,positive
lulis dream paying ukt broken caprody read mou,0.279,0.541,0.18,-0.2732,negative
umawasbusythinking aboutrecordra uktuhhh knowsthesisterhashippedthe hammer olddayagepicture pillgub,0.0,1.0,0.0,0.0,neutral
