conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.79723385891783E+018,Sun Jun 02 11:48:37 +0000 2024,0,Soal Tapera UKT mahal utang membludak putusan MK dan MA yang ngaco PPN naik 12% IUP tambang dikelola ormas penegak hukum makin oon seketika silent majority pada diem. Itu silent majority ato pemilu dicurangin?,1.79723385891783E+018,,,in,,0,0,0,https://x.com/0b170_uch1h4/status/1797233858917830787,1.74166850901967E+018,0b170_uch1h4
1.7970867294067E+018,Sun Jun 02 11:44:45 +0000 2024,0,@bagusjkk @AndrewsTjan Btw kan td nuduh pendukung 02 pak prabowo juga kritik UKT lho: https://t.co/h2pJ83klec Lega dong perspektifnya sama dgn presiden terpilih? Suwun ,1.79723288642243E+018,,alnesputra10,in,,0,0,0,https://x.com/alnesputra10/status/1797232886422425708,1.6906794427531E+018,alnesputra10
1.7970867294067E+018,Sun Jun 02 11:42:49 +0000 2024,0,@bagusjkk @AndrewsTjan Stick di context awal omongan dong sob kok jd kemana2 . Saat jd pemerintah pasti akan ada yg nuduh villain krn ga bs nyenengin semua pihak akan kebijakan. Itu pointnya Kritik tapera &amp; UKT boleh kok tp ngatain villain? Pemerintah kita bukan hitler &amp; ida amin kali ,1.79723239995441E+018,,bagusjkk,in,,0,1,0,https://x.com/alnesputra10/status/1797232399954407900,1.6906794427531E+018,alnesputra10
1.79723231624026E+018,Sun Jun 02 11:42:29 +0000 2024,0,Arisan ibukÂ² sekarang obrolannya politis banget. Dari Tapera UKT wapres sampai pilkada. Baik kali ini gantian aku yg dengerin kalian yaaa .... Ayo ibukÂ² semangat protesnya !!,1.79723231624026E+018,,,in,,0,0,0,https://x.com/justiswari/status/1797232316240261154,2334910416,justiswari
1.79713324948513E+018,Sun Jun 02 11:40:09 +0000 2024,0,@Karienyuu Nah kann pasti di antara banyak mahasiswa yang demo kemaren itu ada yang nyoblos 02. Sekarang nikmatin sono UKT lu naek gausa protes kan mau keberlanjutan wkwkwkwk,1.79723172778362E+018,,Karienyuu,in,,0,0,0,https://x.com/enhydralutrisea/status/1797231727783621091,1.13440684545858E+018,enhydralutrisea
1.79722704718783E+018,Sun Jun 02 11:39:46 +0000 2024,1,@as_sulthoni UKT naik,1.7972316307904E+018,,as_sulthoni,in,Nowhere Creek,0,1,0,https://x.com/akmal4163/status/1797231630790402128,1.41827747975247E+018,akmal4163
1.79654653463457E+018,Sun Jun 02 11:39:17 +0000 2024,0,@Mythicalforest Cawe-cawe beliau politik dinasti ukt naik peraturan tapera korupsi meningkat pengusaha pekerja mahasiswa influencer partai terbesar saat ini pun udh marah dan kesel sama beliau ini. Jadi kurang apa sih buat nurunin beliau ini? Gengsi atau mager?,1.797231508862E+018,,Mythicalforest,in,,0,0,0,https://x.com/dikacepee/status/1797231508861997411,1.24130234927809E+018,dikacepee
1.79723141593293E+018,Sun Jun 02 11:38:55 +0000 2024,0,Cw// Politic Alasan gw vote beliau tuh yah karena visi misinya yg perhatian mengenai uketi ini. Cukup mengrelate dengan gw yg dapat UKT tertinggi karena ortu pi en es,1.79723141593293E+018,,,in,,0,0,0,https://x.com/ochouetteblanc/status/1797231415932928415,1.78947265268144E+018,ochouetteblanc
1.79565956859445E+018,Sun Jun 02 11:38:50 +0000 2024,0,@CNNIndonesia Naik gaji 4% potong tapera 3% inflasi 1 5% mesti nombok lagi 0 5% blm lagi klu jadi bbm naik ukt naik sembako transportasi bakal naik lagi. Alhamdulillah nafas masih melekat di badan.,1.79723139606873E+018,,CNNIndonesia,in,,0,0,0,https://x.com/TanoMaskhe/status/1797231396068728838,1.14338422741879E+018,TanoMaskhe
1.79721763216648E+018,Sun Jun 02 11:38:26 +0000 2024,0,@MargaShinoda Shut up dia kemaren habis ngeluh ukt tinggi gaji dia kecil kena potongan dan kerusakan ekosistem negara tapi tetep post foto nomer dua dengan backsound nyebelin ini,1.79723129532992E+018,,MargaShinoda,in,"Jawa Timur, Indonesia",0,1,0,https://x.com/Aquavo_/status/1797231295329914989,1.2703654995792E+018,Aquavo_
1.79723115995871E+018,Sun Jun 02 11:37:54 +0000 2024,0,Asli aku udah capek banget sama semester ini ya Allah.. Cepet-cepet selesai bisa gak sih? Bukan cuma semesternya tapi kuliahnya juga Aku cuma mau memangkas uang UKT yang harus dikeluarkan ortuku. Biar mereka gak perlu lama-lama bayarin aku kuliah ,1.79723115995871E+018,,,in,,0,0,0,https://x.com/ddalgitami/status/1797231159958712323,1.49580786321394E+018,ddalgitami
1.79722924921424E+018,Sun Jun 02 11:36:10 +0000 2024,0,@tanyakanrl aku mau bertanya kalo ukt kan bukannya di tentuin sama masing kampus ya?,1.79723072445159E+018,,tanyakanrl,in,"Magelang, Jawa Tengah",0,0,0,https://x.com/bukanbuerte/status/1797230724451594703,1.43772204820629E+018,bukanbuerte
1.79723059260365E+018,Sun Jun 02 11:35:38 +0000 2024,0,awoakwo ngeyel si ukt gabisa dibayar pake makan siang,1.79723059260365E+018,,,in,,0,0,0,https://x.com/httplley/status/1797230592603652565,1.54752595401612E+018,httplley
1.79713324948513E+018,Sun Jun 02 11:34:57 +0000 2024,0,@Karienyuu gappa ukt mahal bayar ini itu dll. Kan yang penting Joget. oke gas oke gas,1.79723041897618E+018,,Karienyuu,in,,0,0,0,https://x.com/The_iwan_wan/status/1797230418976178648,9.12204409672626E+017,The_iwan_wan
1.79723035762194E+018,Sun Jun 02 11:34:42 +0000 2024,0,setelah pemilihan pilpres 1. ukt naik: keluarnya permendikbud terkait naiknya ukt 2 kali lipat lebih tinggi dari sebelumnya yg membuat para mahasiswa baru banyak yg putus untuk tidak melanjutkan kuliah. 2. keluarnya tapera terkait untuk tabungan rumah di potong dari gaji dan,1.79723035762194E+018,,,in,korea,0,1,0,https://x.com/ghvdfht/status/1797230357621936531,1.53018061938873E+018,ghvdfht
1.79710116966559E+018,Sun Jun 02 11:31:05 +0000 2024,0,@youngsteo Mwu mnambah uang buat ukt.. :(,1.79722944399766E+018,,youngsteo,in,Unlabeled acc.,0,0,0,https://x.com/safchoi/status/1797229443997659602,1.48571753448172E+018,safchoi
1.79722872430971E+018,Sun Jun 02 11:28:13 +0000 2024,0,UNS Batalkan Kenaikan UKT dan IPI 2024 https://t.co/wVPs5ANyY5,1.79722872430971E+018,,,in,"Bandung, Indonesia",0,0,0,https://x.com/Bandung_Update/status/1797228724309704996,186230496,Bandung_Update
1.79713324948513E+018,Sun Jun 02 11:28:06 +0000 2024,0,@Karienyuu ih gapapa lah ukt naik yang penting bisa makan siang gratis dan joget :( huuu oke gas oke gas,1.79722869658534E+018,,Karienyuu,in,ã¸ï¼ˆÃ—_Ã—ï¼›ï¼‰ã¸,0,0,0,https://x.com/catourage/status/1797228696585335095,550600300,catourage
1.79686832844063E+018,Sun Jun 02 11:27:08 +0000 2024,0,@collegemenfess daripada bayar ukt lg dan gk slesai2? inget umur loker ada maksimalnya nder mending kebantai aja gasi,1.79722845326115E+018,,collegemenfess,in,she/her,0,0,0,https://x.com/miesedaaprebus/status/1797228453261148241,8.4076012061098E+017,miesedaaprebus
1.79716607539594E+018,Sun Jun 02 11:26:35 +0000 2024,0,@5teV3n_Pe9eL Giliran kayak gini pada ngemeng giliran UKT naik diem2 bae. Padahal biar anak muda bisa beli rumah tuh anak2 muda harus sukses dulu salah satu saluran mobilitas sosial yang paling ampuh adalah pendidikan tapi pas UKT naik pada diem2 bae nih aki2 nini2,1.79722831545315E+018,,5teV3n_Pe9eL,in,ì„œìš¸,0,0,0,https://x.com/udahdebut/status/1797228315453149312,1.2086460032151E+018,udahdebut
1.7972281670377E+018,Sun Jun 02 11:26:00 +0000 2024,0,ukt bisa dibayar pake bpjs gak ya #sad,1.7972281670377E+018,,,in,she/her ; 19,0,0,0,https://x.com/minwonpages/status/1797228167037702605,1.79203744068291E+018,minwonpages
1.79722704718783E+018,Sun Jun 02 11:25:44 +0000 2024,1,@as_sulthoni Ukt enggak ada bensin naik ppn 12% anggaran dpr,1.79722810077604E+018,,as_sulthoni,in,Indonesia,0,1,0,https://x.com/yantopost/status/1797228100776038904,1.52961067542083E+018,yantopost
1.79722798516843E+018,Sun Jun 02 11:25:17 +0000 2024,2,[SALAH] UKT Naik Karena Perintah Jokowi. yang twtw aja Tolol Vini Arhan Rizky Ridho https://t.co/O63XNlHiok,1.79722798516843E+018,https://pbs.twimg.com/media/GPEJTAbbYAAkans.jpg,,in,,0,0,1,https://x.com/helensiahayaani/status/1797227985168429338,1.71525216467389E+018,helensiahayaani
1.79713324948513E+018,Sun Jun 02 11:25:00 +0000 2024,0,@Karienyuu Orang goblok suruh joget aja. Makan tuh ukt naik,1.79722791606313E+018,,Karienyuu,in,,0,0,0,https://x.com/apamauludah/status/1797227916063129953,1.50193793250007E+018,apamauludah
1.79722782232452E+018,Sun Jun 02 11:24:38 +0000 2024,1,Sesi latihan Timnas bersama debutan diaspora dari negeri tirai bambu. STY berharap masuknya pemain diaspora yang baru ini turut menguatkan kerjasama ekonomi antara Indonesia-Tiongkok beberapa tahun ke depan. Khususnya dalam proyek Tapera dan subsidi UKT. https://t.co/OTwkl3WPYV,1.79722782232452E+018,https://pbs.twimg.com/media/GPEJLfuawAANCf0.jpg,,in,,0,0,0,https://x.com/mukhtara_rama/status/1797227822324523194,1.43094627398147E+018,mukhtara_rama
1.79713324948513E+018,Sun Jun 02 11:24:15 +0000 2024,0,@hotchocov @Karienyuu Aku beberapa kali ngomongin masalah kenaikan ukt listrik dsb ke sodara kak tp responnya tetep aja katanya siapapun presidennya sama aja bakal naikï¸,1.79722772729426E+018,,hotchocov,in,Indonesia,0,0,0,https://x.com/rorrorrrr_/status/1797227727294255334,2481691387,rorrorrrr_
1.79675208535217E+018,Sun Jun 02 11:23:42 +0000 2024,0,@PartaiSocmed @prabowo Ini Cara jawab kepepet ya Tum memed ? Lah pak @jokowi bilang kenaikan UKT tahun depan cara pintar utk diteruskan presiden terpilih......,1.79722758708288E+018,,PartaiSocmed,in,,0,0,0,https://x.com/Hyun_Son_iL/status/1797227587082879041,1.70579970309775E+018,Hyun_Son_iL
1.79699900937632E+018,Sun Jun 02 11:21:53 +0000 2024,0,@Imoimoo1 @crubmble @drakunnn @Reiza_Patters Malah pada mujiÂ² pas ada berita ^UKT ditunda naik setelah pak Nadiem ketemu Pak Jokowi^ Yg sekarang mereka lagi giring opini kalau tapera hubungannya ma UU bukan salah presiden. Padahal siapa coba yg update PP? Tapera kan emang udah ada dari dulu buat PNS ,1.79722712912774E+018,,Dhif_28,in,,0,1,0,https://x.com/Dhif_28/status/1797227129127735463,1.74181529714806E+018,Dhif_28
1.79722703116565E+018,Sun Jun 02 11:21:29 +0000 2024,0,habis cerita bnyak sama zora terus gue kepikiran aslinya mutual disini banyak yang toxic kirim hatespik sok paling bener sok paling tau hubungan orang sok larang ini itu kalau udah ini itu seolah pernah bayarin UKT ku aja jing. ngurusin banget mm gue noh udah minggat 4 hari,1.79722703116565E+018,,,in,FUB: free!  pfp;@j3_y_,0,0,0,https://x.com/portgtas/status/1797227031165653139,8.0539663865088E+017,portgtas
1.79722539825169E+018,Sun Jun 02 11:20:24 +0000 2024,0,@sbmptnfess bisa seharusnya soalnya penetapan ukt tu pas bener bener diterima ngisi data ulang,1.79722675845613E+018,,sbmptnfess,in,,0,0,0,https://x.com/onmyprogress/status/1797226758456131879,1.69712845129007E+018,onmyprogress
1.79722663015652E+018,Sun Jun 02 11:19:54 +0000 2024,0,Fatwa MUI wajib diikiti? ya gaklaah.. itu anjuran beragama wajib sunnah aja juga ga ada paksaan harus ngikutin/enggak.. idah gausa lebay fatwa MUI bukan aturan permerintah. Mending komplain potongan wajib 3% UKT mahal dll (krna semua aturan permerintah mengikat),1.79722663015652E+018,,,in,,0,0,0,https://x.com/RahmayaniS30094/status/1797226630156521831,1.75198106804207E+018,RahmayaniS30094
1.797226561781E+018,Sun Jun 02 11:19:37 +0000 2024,0,abis meratapi bulanÂ² ini pengeluaran ortu byk. Awal bulan sdh membayar kkl + kos mbakku akhir bulan membayar kos ku. Juli/agustus pasti membayar ukt ku &amp; mbakku ,1.797226561781E+018,,,in,"Semarang, Jawa Tengah",0,0,0,https://x.com/mutiaf_fatih/status/1797226561781002406,1.23353221200952E+018,mutiaf_fatih
1.79699900937632E+018,Sun Jun 02 11:19:05 +0000 2024,0,@Imoimoo1 @crubmble @drakunnn @Reiza_Patters Mereka tu blm pada nyadar keknya kalau itu kebijakan ada kaitannya ma pemilu. Jadi misal ukt naik yg disalahin ya rektor mentok ya mendikbud denial buat nyalahin presiden. Keknya mereka gk tau juga malah kalau pemerintah jga ikut andil dlm pemiihan rektor.,1.79722642453078E+018,,Imoimoo1,in,,0,1,0,https://x.com/Dhif_28/status/1797226424530784291,1.74181529714806E+018,Dhif_28
1.79706057341243E+018,Sun Jun 02 11:17:41 +0000 2024,0,@JeblukAkun UKT ugal an,1.79722607505308E+018,,JeblukAkun,in,"Purbalingga, Indonesia",0,0,0,https://x.com/masedy01/status/1797226075053076962,4190686938,masedy01
1.79722036242776E+018,Sun Jun 02 11:17:14 +0000 2024,0,@boo_minghao_o makanya ituuu kayak... aku ga ikut milih si itu anjir tapi aku kena juga imbasnya helloowww? dia yg kmrn ngotot bgt milih peace sign skrng rata-rata pada nyesel soalnya ketiban masalah UKT naik ,1.79722595889594E+018,,boo_minghao_o,in,akun yapping,0,1,0,https://x.com/jnilyyy/status/1797225958895935724,1.41967541297252E+018,jnilyyy
1.79713324948513E+018,Sun Jun 02 11:16:29 +0000 2024,0,@Karienyuu wkwk udh yakin dulu pasti bakal ad yg bilang gini. tim santai lurrr mau ukt naik/turun,1.79722577003063E+018,,Karienyuu,in,law stud,0,0,0,https://x.com/dimsumaknyos/status/1797225770030628906,1.59710799784697E+018,dimsumaknyos
1.79708407584667E+018,Sun Jun 02 11:12:23 +0000 2024,0,@DraftAnakUnpad UKT unpad udah naik betewe,1.79722474155793E+018,,DraftAnakUnpad,in,,0,0,0,https://x.com/exerglow/status/1797224741557928324,1.06657635070043E+018,exerglow
1.79722439544821E+018,Sun Jun 02 11:11:02 +0000 2024,0,Loker. Tapi yang lu pada pilih adalah yang maksi gratis dan mensejahterakan pejabat. Lu liat dah realisasi maksi gratisnya kaya gimana sekarang? Tepat sasaran? Nggak. Diganti jadi sarapan dan itu pun yang membutuhkan . Mensejahterakan pejabat? Lu liat tuh Tapera sama UKT.,1.79722440092181E+018,,glintie,in,,0,0,0,https://x.com/glintie/status/1797224400921809381,8.85581108510835E+017,glintie
1.797223597226E+018,Sun Jun 02 11:10:25 +0000 2024,0,@rockershtty Inikan masih era jokowi dan 02 tuh pada nerusin programnya Jokowi gitu.. kalo emang gitu ukt bakal ttep naik di era presiden baru,1.79722424575343E+018,,rockershtty,in,"â™‚ï¸, homophobic, porn acc DNI",0,1,0,https://x.com/kentangseksih/status/1797224245753426251,1.73692412495679E+018,kentangseksih
1.79721763216648E+018,Sun Jun 02 10:44:08 +0000 2024,0,Temen gwej tetep ngeyel musuh-musuh gaji nakes rendah ukt mehong tapi tetep oke gas,1.79721763216648E+018,,,in,"Jawa Timur, Indonesia",0,1,0,https://x.com/Aquavo_/status/1797217632166481943,1.2703654995792E+018,Aquavo_
1.79721620962638E+018,Sun Jun 02 10:41:30 +0000 2024,0,@katsurapki Tiap ortu bilang ...nanti cowo minder ukt gue turun 300.000 rb,1.79721696702124E+018,,katsurapki,in,ansuta hell,0,1,0,https://x.com/asceroes/status/1797216967021244715,1.25216565723745E+018,asceroes
1.79689728211968E+018,Sun Jun 02 10:41:29 +0000 2024,0,@Boediantar4 ...kegocek mukidi lagi nih. betul juga pd fokus ke ukt tapera.,1.79721696455922E+018,,Boediantar4,in,west java,0,0,0,https://x.com/twit07_trisno/status/1797216964559221183,1.51331653212609E+018,twit07_trisno
